trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-112.0898337224048,"{0: 13, 1: 2, 2: 9, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-102.6275447445245,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-179.42492148777697,"{0: 15, 1: 3, 2: 2, 3: 2, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-153.97289922761183,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",35,0,-192.8973364626213,"{0: 24, 1: 0, 2: 6, 3: 2, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-198.71628591258224,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 5}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-71.23518166401509,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-43.833424038957254,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-183.99801586099812,"{0: 12, 1: 0, 2: 2, 3: 3, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-162.64067178426248,"{0: 16, 1: 1, 2: 4, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,-140.16527554235245,"{0: 22, 1: 0, 2: 5, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-99.52444325891769,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-65.50445137125422,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-46.3022531928123,"{0: 16, 1: 0, 2: 1, 3: 3, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-102.07687580061739,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,4.235045936465201,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-43.66030737737488,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-120.42923407068992,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,0,-131.80662625208217,"{0: 22, 1: 0, 2: 4, 3: 2, 4: 2}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,12,-11.215394120764657,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",30,3,-19.97017797743634,"{0: 24, 1: 1, 2: 1, 3: 0, 4: 1}",1
2,True,"{'a': 0, 'e': 0}",25,11,-1.976777837872245,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,0,-78.59576605789603,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",20,0,-56.694012743357085,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",1
5,True,"{'a': 0, 'e': 0}",25,0,-45.232222353137985,"{0: 19, 1: 1, 2: 3, 3: 2, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",30,0,-290.3176396386464,"{0: 17, 1: 2, 2: 2, 3: 4, 4: 5}",0
7,True,"{'a': 0, 'e': 0}",35,22,-7.851612631010651,"{0: 11, 1: 1, 2: 0, 3: 1, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",30,0,-97.01027746042703,"{0: 24, 1: 1, 2: 2, 3: 1, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",20,0,-143.0564615650841,"{0: 14, 1: 1, 2: 0, 3: 2, 4: 3}",0
10,True,"{'a': 0, 'e': 0}",20,0,-107.87229352521646,"{0: 15, 1: 1, 2: 0, 3: 2, 4: 2}",0
