trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7, 'e': 0.99}",25,0,-136.01586251718817,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
2,False,"{'a': 0.7, 'e': 0.9801}",25,0,-68.78428726864645,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
3,False,"{'a': 0.7, 'e': 0.970299}",20,0,-117.30468619035804,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
4,False,"{'a': 0.7, 'e': 0.96059601}",25,0,-194.12065962725976,"{0: 11, 1: 3, 2: 7, 3: 2, 4: 2}",0
5,False,"{'a': 0.7, 'e': 0.9509900498999999}",25,0,-82.65077860170582,"{0: 16, 1: 0, 2: 8, 3: 1, 4: 0}",0
6,False,"{'a': 0.7, 'e': 0.941480149401}",20,13,-34.79180085506125,"{0: 4, 1: 0, 2: 2, 3: 1, 4: 0}",1
7,False,"{'a': 0.7, 'e': 0.9320653479069899}",30,0,-154.37167744981033,"{0: 18, 1: 3, 2: 6, 3: 1, 4: 2}",0
8,False,"{'a': 0.7, 'e': 0.9227446944279201}",20,0,-182.93110193483744,"{0: 11, 1: 1, 2: 3, 3: 2, 4: 3}",0
9,False,"{'a': 0.7, 'e': 0.9135172474836408}",25,0,-97.78279862913716,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
10,False,"{'a': 0.7, 'e': 0.9043820750088044}",20,14,-21.344131677229218,"{0: 4, 1: 0, 2: 1, 3: 1, 4: 0}",1
11,False,"{'a': 0.7, 'e': 0.8953382542587164}",25,0,-123.97787733681052,"{0: 12, 1: 7, 2: 4, 3: 1, 4: 1}",0
12,False,"{'a': 0.7, 'e': 0.8863848717161292}",25,0,-126.84437944298382,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
13,False,"{'a': 0.7, 'e': 0.8775210229989678}",25,0,-192.51164651065974,"{0: 14, 1: 0, 2: 7, 3: 1, 4: 3}",0
14,False,"{'a': 0.7, 'e': 0.8687458127689782}",30,0,-157.1390860538883,"{0: 15, 1: 4, 2: 9, 3: 1, 4: 1}",0
15,False,"{'a': 0.7, 'e': 0.8600583546412884}",25,0,-92.03357346767406,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
16,False,"{'a': 0.7, 'e': 0.8514577710948755}",35,0,-36.90297926463737,"{0: 26, 1: 5, 2: 4, 3: 0, 4: 0}",0
17,False,"{'a': 0.7, 'e': 0.8429431933839268}",30,0,-72.87628471965381,"{0: 22, 1: 2, 2: 5, 3: 0, 4: 1}",0
18,False,"{'a': 0.7, 'e': 0.8345137614500875}",20,0,-9.428588543260808,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
