trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",30,0,-120.17384253110251,"{0: 21, 1: 2, 2: 5, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.9801}",20,0,-127.02625954681912,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.9702989999999999}",30,0,-149.11984808367117,"{0: 16, 1: 4, 2: 7, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.96059601}",20,0,-148.48286446958107,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.9509900498999999}",25,0,-44.78826683936399,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",1
6,False,"{'a': 0.5, 'e': 0.9414801494009999}",20,1,-27.403145047613883,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 1}",1
7,False,"{'a': 0.5, 'e': 0.9320653479069899}",25,0,-138.573734887467,"{0: 10, 1: 5, 2: 9, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.92274469442792}",25,0,-198.4697127077416,"{0: 11, 1: 4, 2: 7, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.9135172474836407}",30,0,-35.59621748713784,"{0: 23, 1: 3, 2: 3, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.9043820750088043}",30,0,-169.72643736271587,"{0: 18, 1: 6, 2: 2, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.8953382542587163}",30,0,-36.91653502105223,"{0: 24, 1: 1, 2: 4, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.8863848717161291}",30,0,-162.65209534321158,"{0: 21, 1: 0, 2: 6, 3: 0, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.8775210229989678}",30,0,-111.95491035061,"{0: 17, 1: 2, 2: 10, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.8687458127689781}",20,0,-135.69044351968142,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.8600583546412883}",20,0,-84.87506794549851,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.8514577710948754}",20,0,-85.3811212111224,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.8429431933839266}",25,0,-36.87501010656773,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.8345137614500874}",20,0,-115.20929535120523,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.8261686238355865}",20,0,-79.12148631463128,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.8179069375972307}",30,0,-333.7113512188856,"{0: 11, 1: 3, 2: 7, 3: 5, 4: 4}",0
1,True,"{'a': 0, 'e': 0}",25,0,-116.01337242265001,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",30,0,-89.6058367994929,"{0: 22, 1: 1, 2: 5, 3: 1, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",20,0,-98.6725718655978,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",20,0,-116.66748904140981,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",25,0,-156.02493706427848,"{0: 13, 1: 2, 2: 8, 3: 0, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",20,0,-58.5191237482943,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",20,0,-167.37093260517898,"{0: 10, 1: 1, 2: 5, 3: 2, 4: 2}",0
8,True,"{'a': 0, 'e': 0}",20,0,-210.063980572983,"{0: 11, 1: 2, 2: 1, 3: 2, 4: 4}",0
9,True,"{'a': 0, 'e': 0}",30,0,-224.83272398528933,"{0: 15, 1: 6, 2: 5, 3: 0, 4: 4}",0
10,True,"{'a': 0, 'e': 0}",20,0,-91.94319060437677,"{0: 10, 1: 5, 2: 4, 3: 0, 4: 1}",0
